cc,pc,place_name,admin_name1,admin_code1,admin_name2,admin_code2,admin_name3,admin_code3,latitude,longitude,accuracy
JP,966-0400,Ikanikeisaiganaibaai,Fukushima Ken,8,Yama Gun,1848677.0,Kitashiobara Mura,7402.0,37.6697,140.2133,1
JP,966-0401,Hibara(Oshizawa.Oshizawahara.Hosono,Fukushima Ken,8,Yama Gun,1848677.0,Kitashiobara Mura,7402.0,37.6697,140.2133,1
JP,966-0401,Orenharayama),Fukushima Ken,8,Yama Gun,1848677.0,Kitashiobara Mura,7402.0,37.6697,140.2133,1
JP,966-0402,Oshio,Fukushima Ken,8,Yama Gun,1848677.0,Kitashiobara Mura,7402.0,37.6667,139.9833,4
JP,966-0403,Sekiya,Fukushima Ken,8,Yama Gun,1848677.0,Kitashiobara Mura,7402.0,37.6286,139.968,4
JP,966-0404,Kitayama,Fukushima Ken,8,Yama Gun,1848677.0,Kitashiobara Mura,7402.0,37.6697,140.2133,1
JP,966-0405,Shimoyoshi,Fukushima Ken,8,Yama Gun,1848677.0,Kitashiobara Mura,7402.0,37.6697,140.2133,1
JP,966-0501,Hara.Wasezawa.Koyasawa.Mizunashihar,Fukushima Ken,8,Yama Gun,1848677.0,Kitashiobara Mura,7402.0,37.5383,140.4227,1
JP,966-0501,Hibara(Ubatasawa.Kanayama.Gojuryoha,Fukushima Ken,8,Yama Gun,1848677.0,Kitashiobara Mura,7402.0,37.5383,140.4227,1
JP,969-2271,Nakakomatsu,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5015,140.1559,1
JP,969-2272,Kaneda,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5015,140.1559,1
JP,969-2273,Sekito,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5176,140.1455,4
JP,969-2274,Tsuboyo,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5015,140.1559,1
JP,969-2275,Yamagata,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.4853,140.1663,4
JP,969-2661,Misato,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.6286,139.968,4
JP,969-2662,Yahata,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.4738,139.9751,1
JP,969-2663,Kawageta,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5391,140.137,4
JP,969-2701,Goshikinuma.Jinkuroyama.Soharayama.,Fukushima Ken,8,Yama Gun,1848677.0,Kitashiobara Mura,7402.0,37.4877,140.0655,1
